stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
B140,B140,Trenului,"str. Trenului, nr.183",46.206590,21.322920
B141,B141,Tribunul Corcheș,"str. Câmpurilor, FN",46.214430,21.287990
B142,B142,Tribunul Corcheș,"str. Câmpurilor, nr.1",46.215230,21.287170
B143,B143,Trotușului,"str. Trotușului, nr.33",46.193350,21.275340
B144,B144,Trotușului,"str. Trotușului, nr.28",46.193920,21.275280
B145,B145,U.T.A.,"Calea Aurel Vlaicu, bl.U4, sc.A",46.191720,21.308920
B146,B146,U.T.A.,"Calea Aurel Vlaicu, nr.60",46.192060,21.309850
B147,B147,Universului,"str. Câmpurilor, nr.77",46.221350,21.279260
B148,B148,Universului,"str. Câmpurilor, nr.75",46.221210,21.279570
B151,B151,Bisericii,"str. Rândunicii, nr. 50",46.201300,21.327560
B152,B152,Păpădiei,str. Someșului FN,46.206760,21.326630
B153,B153,Vântului,"str. Vântului, nr.16-17",46.131820,21.352170
B155,B155,Viitorului,"str. Trenului, nr.135",46.203360,21.322990
B156,B156,Zimbrului,"str. A. Guttenbrunn, nr.129",46.148130,21.328960
B157,B157,Posada,"str. Posada, nr.22",46.155670,21.316320
B158,B158,Posada,"str. Posada, nr.19",46.154990,21.315860
B159,B159,Constituției,"str. Constituției, nr.128",46.152570,21.307260
B160,B160,Constituției,"str. Constituției, nr.89",46.152530,21.307730
B161,B161,C. Turzii,"str. C. Turzii, nr.12",46.154130,21.303620
B162,B162,Andrei Șaguna,"str. Andrei Șaguna, nr. 196",46.166110,21.301650
B163,B163,Andrei Șaguna,"str. Andrei Șaguna, nr. 141",46.166190,21.301630
B164,B164,Economu,"str. Economului, nr.2",46.154070,21.298590
B165,B165,Economu,"str. Economului, nr.7",46.153870,21.298710
B166,B166,Coloniștilor,"str. Coloniștilor, nr.23",46.152360,21.302940
B167,B167,Coloniștilor,"str. Coloniștilor, nr.38",46.152530,21.302300
B168,B168,C-tin Ticu Dumitrescu,"str. C-tin Ticu Dumitrescu, nr.41",46.148050,21.307730
B169,B169,C-tin Ticu Dumitrescu,"str. C-tin Ticu Dumitrescu, nr. 41 vis-a-vis",46.148050,21.307730
B174,B174,Westfield ram,"Cartier Westfield, DJ 709 C",46.225740,21.269560
B175,B175,Westfield ram,"vis-a-vis Cartier Westfield, DJ 709 C",46.225640,21.269430
P109,P109,La Cocoș,,46.169355,21.378228
P169,P169,Galleria 1,,46.201107,21.291908
P170,P170,Galleria 2,,46.200992,21.292117
P171,P171,Galleria 3,,46.201636,21.288081
P172,P172,Galleria 4,,46.201623,21.288180
P240,P240,Primărie 2,,46.176404,21.318783
P27,P27,Billa,,46.173032,21.348885
P282,P282,Sâmbăteni 1,,46.141067,21.524181
P283,P283,Sâmbăteni 2,,46.140982,21.524138
P297,P297,Selgros,,46.172554,21.372656
P350,P350,Mierlei,,46.192262,21.339486
P351,P351,Orient,,46.188736,21.342547
P352,P352,Gelu,,46.186144,21.340522
P353,P353,Vișinului,,46.187721,21.337544
P354,P354,Războieni,,46.189681,21.335491
P366,P366,Vladimirescu Via Carmina,,46.166325,21.389821
P367,P367,Grădina Poștei,,46.186048,21.349702
P56,P56,Euromedic,,46.177035,21.345453
P92,P92,Piața Romană,,46.166456,21.319970
S001,S001,Cicir,DN 7,46.146020,21.480730
S002,S002,Cicir,DN 7,46.146020,21.480730
S006,S006,DN 7_2,DN 7,46.157120,21.428120
S007,S007,Mândruloc,DN 7,46.148160,21.465460
S008,S008,Mândruloc,DN 7,46.148160,21.465460
S011,S011,Sâmbăteni 3,DN 7,46.141070,21.524100
S012,S012,Ghioroc,DJ 708 B,46.156450,21.593670
S013,S013,Ghioroc 1,DJ 708 C,46.155100,21.587010
S018,S018,Vladimirescu Moară,DN 7,46.163400,21.405440
S019,S019,Vladimirescu Moară,DN 7,46.163480,21.405170
S020,S020,Vladimirescu Poliție,DN 7,46.165650,21.398190
S021,S021,Vladimirescu Poliție,DN 7,46.165840,21.397640
T001,T001,Ana Ipătescu,"Calea Timișorii, nr.4-6",46.155690,21.321740
T002,T002,Ana Ipătescu,"Calea Timișorii, nr.5-7",46.157170,21.321940
T003,T003,Alfa,"str. Condurașilor, nr.61",46.165960,21.291430
T004,T004,Alfa,"str. Pădurii, nr.199",46.166660,21.290650
T005,T005,Andrei Șaguna,"str. Condurașilor, nr.4-6",46.166550,21.300980
T006,T006,Andrei Șaguna,"str. M.Kogălniceanu, nr.61",46.166600,21.302420
T007,T007,Aris,"str. Cocorilor, nr.48",46.188790,21.303350
T008,T008,Aris,"str. Cocorilor, nr.51",46.189010,21.303130
T011,T011,Atrium 1,"Calea Aurel Vlaicu, B.C. Carpatica",46.190130,21.319310
T012,T012,Atrium 2,"Calea Aurel Vlaicu, Astra Vagoane",46.190120,21.318690
T013,T013,Autoservice,"str. Stefan Cel Mare, nr.1",46.145970,21.322500
T014,T014,Autoservice,"str. Stefan Cel Mare, nr.1",46.146080,21.321930
T017,T017,Băile Termale,Calea Aurel Vlaicu,46.201330,21.283720
T018,T018,Băile Termale,Calea Aurel Vlaicu,46.201270,21.284070
T019,T019,Caius Iacob,"B-dul Revoluției, lângă Bancpost",46.185680,21.325150
T020,T020,Caius Iacob,"B-dul Revoluției, lângă Bancpost",46.185200,21.324840
T024,T024,Galleria 4,"Calea Aurel Vlaicu, sens giratoriu Galleria Mall",46.201530,21.292380
T027,T027,Biserica Sârbească,"str. Simeriei, după colț cu str. Acad. Teologică",46.167090,21.310780
T028,T028,Biserica Sârbească,"Piața Sârbească, nr.2",46.166820,21.310970
T029,T029,Bogdan Voievod,"str. Dunării, nr.49",46.205420,21.280150
T030,T030,Bogdan Voievod,"str. Dunării, nr.49",46.205350,21.280190
T033,T033,Caraimanul,"Calea Timișorii, nr.52",46.151740,21.321750
T034,T034,Caraimanul,"Calea Timișorii, nr.55",46.153070,21.322030
T035,T035,Clujului,"str. Condurașilor, nr. 38",46.166310,21.295770
T036,T036,Clujului,"str. Condurașilor, bl.74 sc. C",46.166160,21.294920
T037,T037,Confecții,"str. Pădurii, nr.27-29",46.180150,21.296650
T038,T038,Confecții,"str. Pădurii, nr.23-25",46.180270,21.296770
T039,T039,Cpt. Ignat,"str. Pădurii, nr.103-105",46.175150,21.294280
T040,T040,Cpt. Ignat,"str. Pădurii, nr.93B",46.174600,21.293840
T041,T041,Piața Obor-fac.,stație facultativă Intrare Piața Obor,46.171370,21.292780
T042,T042,Piața Obor-fac.,stație facultativă Intrare Piața Obor,46.171080,21.292360
T043,T043,Crișan,"B-dul Revoluției, bl.52-54",46.178540,21.319970
T044,T044,Crișan,"B-dul Revoluției, bl.55",46.178270,21.319980
T045,T045,Electrometal,"Calea Aurel Vlaicu, bl.Z16",46.194584,21.301992
T046,T046,Electrometal,"Calea Aurel Vlaicu, bl. I 1",46.195290,21.300570
T047,T047,Euromedic,"B-dul N.Titulescu, bl.315",46.175620,21.347320
T048,T048,Făt Frumos,"Str. Făt Frumos, bl.A4",46.202730,21.291680
T049,T049,Fortuna 1,"Calea Aurel Vlaicu, bl.A9 sc.B",46.200070,21.294170
T050,T050,Fortuna 2,"Calea Aurel Vlaicu, bl.6 sc.B",46.199034,21.295489
T051,T051,Gara Aradul Nou,"Zona Aradul Nou, bl.5-6",46.144950,21.334540
T052,T052,Gara Aradul Nou,"Zona Aradul Nou, bl.5-6",46.144700,21.334280
T053,T053,Gara CFR,"Piața Gării, nr. 8-9",46.188580,21.324870
T054,T054,Gara CFR,"Piața Gării, nr. 8-9",46.188970,21.324270
T055,T055,Gorunului,"str. Petru Rareș, nr. 43",46.194940,21.333770
T056,T056,Gorunului,"str. Petru Rareș, nr. 43",46.194940,21.333770
T057,T057,Grădinița,"str. Renașterii, nr. 42",46.171480,21.358160
T058,T058,Grădinița,"str. Renașterii, nr.29",46.171010,21.357970
T061,T061,Hodoș,"str. M.Kogălniceanu, nr.26-30",46.166860,21.306330
T062,T062,Hodoș,"str. M.Kogălniceanu, nr.43",46.166810,21.305860
T065,T065,Maximilian,"Calea Radnei, nr.126",46.180250,21.344370
T066,T066,Maximilian,"Calea Radnei, nr.105",46.180230,21.344660
T067,T067,Miorița,"Calea Radnei, nr.255",46.179050,21.349160
T068,T068,Miorița,"Calea Radnei, nr.125-123",46.179330,21.348470
T069,T069,Orologerie,"str. Cocorilor, nr.6-10",46.184930,21.300330
T070,T070,Orologerie,"str. Cocorilor, nr.13-15",46.184980,21.300230
T071,T071,Pășunii,"Calea Radnei, nr.226",46.177450,21.356190
T072,T072,Pășunii,"Calea Radnei, nr.159",46.177590,21.355850
T073,T073,Piața Auto,Calea Aurel Vlaicu,46.202080,21.260520
T074,T074,Piața Auto,Calea Aurel Vlaicu,46.202080,21.260520
T075,T075,Piața Gai,str. Dunării după intersecția cu Hatman Arbore,46.210180,21.277700
T076,T076,Piața Gai,"str. Dunării colț cu Hatman Arbore, nr.95",46.209480,21.278030
T077,T077,Piața Romană,"str. Tribunul Dobra, nr 24",46.167420,21.320030
T078,T078,Piața Romană,"str. Tribunul Dobra, nr. 19",46.167980,21.319790
T079,T079,Piața Romană,"str. Preparandiei, nr.2-6",46.166360,21.319020
T081,T081,Piața U.T.A.,"Calea Aurel Vlaicu, bl.U4, sc.A",46.191940,21.309170
T082,T082,Piața U.T.A.,"Calea Aurel Vlaicu, bl.Z22, sc.A",46.192730,21.306630
T083,T083,Piața U.T.A.,"Calea Aurel Vlaicu, bl.Z22, sc.A",46.192730,21.306630
T085,T085,Platforma Vest,Zona Industrială,46.205040,21.255460
T086,T086,Podgoria,"B-dul Revoluției, nr.25",46.182050,21.322660
T087,T087,Podgoria,"B-dul Revoluției, nr. 20B",46.183800,21.324370
T088,T088,Podgoria,"str. Iuliu Maniu, bl.2-10",46.182390,21.325030
T089,T089,Pomenirea,"str. Pădurii, nr.169-171",46.169150,21.291550
T090,T090,Pomenirea,"str. Pădurii, nr.159-161",46.169480,21.291700
T091,T091,Primărie 1,"B-dul Revoluției, bl.72",46.174870,21.317560
T093,T093,Paul Chinezul 1,str. Preparandiei,46.166930,21.313890
T094,T094,Paul Chinezul 2,str. Dornei,46.165890,21.317170
T095,T095,RAR,"Calea Aurel Vlaicu, nr.269",46.201230,21.276310
T096,T096,RAR,"Calea Aurel Vlaicu, nr.269",46.201350,21.276580
T098,T098,Renașterii 2,"Calea Radnei, nr.185",46.176580,21.360760
T099,T099,Renașterii 1,Calea Radnei nr.189,46.176680,21.360080
T100,T100,Renașterii 4,"str. Renașterii, Liceul cu Program Sportiv",46.175290,21.359900
T101,T101,Romanilor,Calea Romanilor (după sensul giratoriu),46.165830,21.321750
T102,T102,Romanilor,Calea Romanilor (înainte sens giratoriu),46.166170,21.321650
T103,T103,Școala,"str. Dunării, nr.17",46.202970,21.281800
T104,T104,Școala,"str. Dunării, nr.17",46.202970,21.281800
T105,T105,Sere,"Calea Zimandului, SIRE-Cablaje",46.203080,21.342830
T106,T106,Sere,"Calea Zimandului, SIRE-Cablaje",46.202870,21.342430
T107,T107,Stan Dragul,"str. Ștefan Cel Mare, nr.16-18",46.145150,21.326670
